Problem Name,Rating,Difficulty,Length,Description
IPhO 2012 T1,2,2,2,Minimization: Minimizing the path of a projectile moving through a sphere.
Physics Cup 2012 P1,3,3,2,TBA
Physics Cup 2019 P3,2,3,3,TBA
EuPhO 2019 T3,3,3,1,TBA
