Problem Name,Rating,Difficulty,Length,Description
USAPhO 2018 B2,1,1,1,Telescope Mirror: Using the Uncertainty Principle to Estimate Size of Telescope to Observe Distant Stars
INPhO 2020 P4,3,2,2,Source in Circular Motion: A lovely problem requiring detective-like casework on the various possibilities of the position of wave detectors
NBPhO 2012 P1,3,2,2,-
IPhO 1995 T2,3,3,3,-
IPhO 2015 T2(b),4,3,2,-
Physics Cup 2012 P0,2,3,2,-
NBPhO 2019 P5,3,2,2,-
EuPhO 2020 T3,4,4,3,-
