x,Amplitude
-400000.0,0.0066996365494540735
-399919.9919991999,0.006659117944624449
-399839.98399839987,0.006618702520318409
-399759.9759975998,0.006578390492489032
-399679.9679967997,0.0065381819044782906
-399599.9599959996,0.0064980774591598504
-399519.95199519955,0.006458076774174963
-399439.94399439945,0.0064181805251885445
-399359.93599359936,0.006378388660980002
-399279.92799279926,0.006338701602579286
-399199.9199919992,0.0062991193537290015
-399119.91199119913,0.006259642414674505
-399039.90399039903,0.0062202708829096455
-398959.89598959894,0.006181004726992854
-398879.8879887989,0.006141844600058518
-398799.8799879988,0.006102790553336983
-398719.8719871987,0.006063842593484966
-398639.8639863986,0.006025000998303893
-398559.8559855986,0.005986266285119523
-398479.8479847985,0.0059476386116017604
-398399.8399839984,0.005909117701792852
-398319.8319831983,0.005870704430948675
-398239.82398239826,0.005832398492145218
-398159.81598159816,0.005794200578196897
-398079.80798079807,0.005756110459293904
-397999.799979998,0.005718128691179629
-397919.79197919794,0.0056802552352445196
-397839.78397839784,0.005642490352032982
-397759.77597759775,0.005604834314579814
-397679.76797679765,0.005567287560255687
-397599.7599759976,0.005529850020167658
-397519.7519751975,0.005492521788708792
-397439.7439743974,0.005455303290984997
-397359.7359735974,0.005418194976502892
-397279.7279727973,0.005381196535365026
-397199.7199719972,0.0053443085271604575
-397119.7119711971,0.005307530906615498
-397039.70397039707,0.005270864229453126
-396959.69596959697,0.00523430838118086
-396879.6879687969,0.005197863834308626
-396799.6799679968,0.00516153052906356
-396719.67196719674,0.005125308818545108
-396639.66396639665,0.005089198972620365
-396559.65596559655,0.005053201154111651
-396479.64796479646,0.005017315462497625
-396399.6399639964,0.004981542307000163
-396319.6319631963,0.004945881708008973
-396239.62396239623,0.004910333847964367
-396159.61596159614,0.0048748992660907235
-396079.6079607961,0.004839577568829867
-395999.599959996,0.004804369509199206
-395919.5919591959,0.004769275250789947
-395839.5839583958,0.004734294665344793
-395759.5759575958,0.004699428353122288
-395679.5679567957,0.0046646759595170015
-395599.5599559956,0.004630038202470945
-395519.5519551955,0.004595515197260127
-395439.54395439546,0.004561106849389912
-395359.53595359536,0.004526813680941905
-395279.52795279527,0.004492635888626665
-395199.5199519952,0.004458573356942899
-395119.51195119513,0.004424626583419953
-395039.50395039504,0.004390795704035987
-394959.49594959494,0.004357080777594632
-394879.4879487949,0.004323482042419413
-394799.4799479948,0.004289999936775884
-394719.4719471947,0.0042566344795456
-394639.4639463946,0.004223385871068102
-394559.4559455946,0.004190254328039641
-394479.4479447945,0.004157239791629676
-394399.4399439944,0.004124343072891956
-394319.4319431943,0.004091563838452348
-394239.42394239426,0.004058902184104012
-394159.41594159417,0.004026358840847677
-394079.4079407941,0.003993933655200525
-393999.399939994,0.00396162682508749
-393919.39193919394,0.003929438591802267
-393839.38393839385,0.0038973692102463237
-393759.37593759375,0.0038654185242991464
-393679.36793679366,0.0038335873776081646
-393599.3599359936,0.0038018755931711243
-393519.3519351935,0.0037702829851771888
-393439.34393439343,0.0037388105015076986
-393359.33593359333,0.003707457838933965
-393279.3279327933,0.0036762251356037817
-393199.3199319932,0.003645112839757541
-393119.3119311931,0.003614121129601661
-393039.303930393,0.0035832499356005993
-392959.295929593,0.003552499709162209
-392879.2879287929,0.0035218705472736156
-392799.2799279928,0.003491362469453744
-392719.2719271927,0.0034609760469361743
-392639.26392639265,0.0034307111113757458
-392559.25592559256,0.003400567955550802
-392479.24792479246,0.003370546783408907
-392399.2399239924,0.0033406478262979246
-392319.23192319233,0.0033108710541544704
-392239.22392239224,0.003281216837398107
-392159.21592159214,0.003251685361649356
-392079.2079207921,0.003222276804394469
-391999.199919992,0.0031929912974468766
-391919.1919191919,0.0031638289085503257
-391839.1839183918,0.003134790159323807
-391759.1759175918,0.0031058748779999473
-391679.1679167917,0.0030770833076228838
-391599.1599159916,0.003048415706000171
-391519.1519151915,0.003019872269412597
-391439.14391439146,0.002991453227609334
-391359.13591359137,0.002963158557099832
-391279.1279127913,0.0029349885466716957
-391199.1199119912,0.002906943227263906
-391119.11191119114,0.0028790231780717766
-391039.10391039104,0.0028512281665236975
-390959.09590959095,0.0028235584915001976
-390879.08790879085,0.002796014375532826
-390799.0799079908,0.0027685959211263722
-390719.0719071907,0.002741303373530218
-390639.0639063906,0.0027141368296936127
-390559.05590559053,0.0026870964845974355
-390479.0479047905,0.002660182444353284
-390399.0399039904,0.0026333949887613105
-390319.0319031903,0.0026067343748123785
-390239.0239023902,0.002580200640424876
-390159.0159015902,0.0025537935899082377
-390079.0079007901,0.002527514063356322
-389998.99989999,0.002501361958206711
-389918.9918991899,0.002475337198041052
-389838.98389838985,0.0024494402009427557
-389758.97589758976,0.0024236711523602595
-389678.96789678966,0.0023980300028120867
-389598.9598959896,0.002372517254128414
-389518.95189518953,0.0023471327911936688
-389438.94389438943,0.002321876815968013
-389358.93589358934,0.002296749687527465
-389278.9278927893,0.0022717511641458217
-389198.9198919892,0.002246881652262483
-389118.9118911891,0.0022221413686926445
-389038.903890389,0.002197530456586146
-388958.895889589,0.0021730488893727746
-388878.8878887889,0.0021486970800200476
-388798.8798879888,0.002124475148286298
-388718.8718871887,0.002100383093327457
-388638.86388638866,0.002076421022706352
-388558.85588558856,0.0020525893538949976
-388478.84788478847,0.002028887970347239
-388398.8398839884,0.002005317321349722
-388318.83188318834,0.0019818773295921326
-388238.82388238824,0.001958568198157283
-388158.81588158815,0.001935390078470974
-388078.80788078805,0.0019123431702575838
-387998.799879988,0.0018894275668136108
-387918.7918791879,0.0018666434304654008
